SrcIP,DstIP,SrcPort,DstPort,TransportLayer,UpTimeMean,UpTimeStd,UpTimeMin,UpTimeMax,DownTimeMean,DownTimeStd,DownTimeMin,DownTimeMax,TimeMean,TimeStd,TimeMin,TimeMax,UpPacketLenMean,UpPacketLenStd,UpPacketLenMin,UpPacketLenMax,DownPacketLenMean,DownPacketLenStd,DownPacketLenMin,DownPacketLenMax,PacketLenMean,PacketLenStd,PacketLenMin,PacketLenMax,Duration,UpPacketNum,UpPacketNumMinute,DownPacketNum,DownPacketNumMinute,PacketNum,PacketNumMinute,DownUpPacketPercent,UpHeadLenPercent,DownHeadLenPercent,ExtensionNum,ServerName
192.168.11.206,212.50.246.217,46146,39710,0,0.7418,1.8610,0.0000,9.2677,0.6539,1.7653,0.0000,9.2677,0.3412,1.3003,0.0000,9.2075,232.0833,55739.0764,0.0000,790.0000,359.9259,301346.7353,0.0000,2114.0000,299.7647,189838.4544,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0607,24,84.4047,27,94.9553,51,179.3600,1.1250,0.2858,0.1842,0,
192.168.11.206,212.50.246.217,46188,39710,0,0.7426,1.5470,0.0000,6.5047,0.6683,1.4853,0.0000,6.5047,0.3443,1.0987,0.0000,6.4461,228.7895,51473.6399,0.0000,672.0000,441.2381,351757.7052,0.0000,2114.0000,340.3250,220378.1694,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,13.4273,19,84.9013,21,93.8383,40,178.7397,1.1053,0.2903,0.1504,0,
192.168.11.206,95.216.195.133,35806,80,0,0.1023,0.1022,0.0000,0.2067,0.0836,0.1023,0.0000,0.2111,0.0620,0.0947,0.0000,0.2110,85.2000,1192.9600,0.0000,154.0000,100.3333,5773.8889,0.0000,270.0000,93.4545,3748.4298,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.6200,5,483.8768,6,580.6521,11,1064.5289,1.2000,0.7934,0.6611,0,
192.168.11.206,212.50.246.217,46136,39710,0,0.8124,1.4788,0.0000,6.4670,0.7727,1.4556,0.0000,6.4670,0.3877,1.0814,0.0000,6.4071,212.8182,49010.7851,0.0000,708.0000,406.4783,332133.5539,0.0000,2114.0000,311.8000,203089.4044,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0603,22,77.3727,23,80.8896,45,158.2622,1.0455,0.3118,0.1632,0,
192.168.11.206,212.50.246.217,46164,39710,0,0.7108,1.7102,0.0001,8.6308,0.6800,1.6815,0.0000,8.6306,0.3412,1.2234,0.0000,8.5726,217.6400,49105.9104,0.0000,682.0000,370.4615,303992.2485,0.0000,2114.0000,295.5490,184884.3260,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0585,25,87.9325,26,91.4498,51,179.3824,1.0400,0.3047,0.1790,0,
192.168.11.206,95.216.195.133,35810,80,0,0.0783,0.0958,0.0001,0.1968,0.0966,0.0966,0.0000,0.1969,0.0581,0.0887,0.0000,0.1968,82.0000,1045.3333,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,94.0000,3714.9091,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.5808,6,619.7941,5,516.4951,11,1136.2892,0.8333,0.8211,0.6236,0,
192.168.11.206,212.50.246.217,46138,39710,0,0.8063,1.7699,0.0000,8.5871,0.8250,1.7853,0.0000,8.5871,0.4032,1.2991,0.0000,8.5285,204.4048,49909.6695,0.0000,783.0000,354.9756,247836.5116,0.0000,1514.0000,278.7831,153347.8325,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,33.0590,42,76.2273,41,74.4123,83,150.6396,0.9762,0.3238,0.1865,0,
192.168.11.206,212.50.246.217,46166,39710,0,0.9183,1.9092,0.0000,8.6166,0.8919,1.8885,0.0000,8.6160,0.4467,1.3921,0.0000,8.5578,225.7568,54171.4273,0.0000,700.0000,378.5000,293851.4079,0.0000,2114.0000,303.1467,181440.8718,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,33.0585,37,67.1537,38,68.9687,75,136.1224,1.0270,0.2933,0.1749,0,
192.168.11.206,212.50.246.217,46148,39710,0,0.7424,1.8505,0.0000,9.2105,0.6807,1.7880,0.0000,9.2105,0.3485,1.3069,0.0000,9.1519,222.9583,54754.2899,0.0000,764.0000,368.3846,303651.5444,0.0000,2114.0000,298.5800,189459.6036,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0760,24,84.3286,26,91.3560,50,175.6847,1.0833,0.2975,0.1800,0,
192.168.11.206,95.216.195.133,35812,80,0,0.0959,0.0958,0.0001,0.1919,0.0976,0.0976,0.0000,0.1987,0.0647,0.0915,0.0000,0.1986,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.5823,5,515.2408,5,515.2408,10,1030.4816,1.0000,0.7934,0.6236,0,
192.168.11.206,212.50.246.217,46168,39710,0,0.8124,1.4917,0.0000,6.5521,0.7728,1.4639,0.0000,6.5325,0.3877,1.0869,0.0000,6.4716,216.5000,49847.3409,0.0000,696.0000,408.0870,336294.4272,0.0000,2114.0000,314.4222,205425.4884,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0607,22,77.3710,23,80.8878,45,158.2588,1.0455,0.3065,0.1626,0,
192.168.11.206,212.50.246.217,46150,39710,0,0.6093,1.7704,0.0000,9.5296,0.6539,1.8321,0.0000,9.5297,0.3102,1.2876,0.0000,9.4710,201.4828,48391.5600,0.0000,757.0000,360.1852,234394.1509,0.0000,1514.0000,278.0000,144359.9643,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0595,29,101.9957,27,94.9616,56,196.9573,0.9310,0.3310,0.1841,0,
192.168.11.206,212.50.246.217,46140,39710,0,0.6093,1.5957,0.0000,8.5942,0.6296,1.6209,0.0000,8.5913,0.3046,1.1554,0.0000,8.5327,199.0000,48933.5172,0.0000,772.0000,354.0357,243891.2487,0.0000,1514.0000,275.1579,150709.3961,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0590,29,101.9987,28,98.4815,57,200.4802,0.9655,0.3330,0.1872,0,
